date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:11	75599/75599	---M--	200	added ('OK')	text/css	etag:%221274f-52b7c2c13fdc0%22	http://max-agency.com/template/std/css/animate.css	D:/studiolabs/max-agency.com/template/std/css/animate.css	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:04:12	11559/11559	---M--	200	added ('OK')	text/css	etag:%222d27-52b7c2c04bb80%22	http://max-agency.com/template/std/css/base.css	D:/studiolabs/max-agency.com/template/std/css/base.css	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:04:15	43599/43599	---M--	200	added ('OK')	application/javascript	etag:%22aa4f-57a151ffb0640%22	http://max-agency.com/template/std/js/base.js?v=2.0.55	D:/studiolabs/max-agency.com/template/std/js/basef422.js	(from http://max-agency.com/)
13:04:25	57360/57360	---M--	200	added ('OK')	application/x-font-woff	etag:%22e010-52b7c2b8aa980%22	http://max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.woff	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.woff	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:04:33	132148/132148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220434-52b7c2b7b6740%22	http://max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.eot	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:04:35	89788/89788	---M--	200	added ('OK')	text/html	etag:%2215ebc-52b7c2b7b6740%22	http://max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.ttf	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.html	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:04:48	132148/132148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220434-52b7c2b7b6740%22	http://max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLight.eot?	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/Light/ProximaNovaLightd41d.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:05:03	88932/88932	---M--	200	added ('OK')	application/x-font-woff	etag:%2215b64-52b7c2b6c2500%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.woff	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.woff	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:05:06	185474/185474	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222d482-52b7c2b4da080%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.eot	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.eot	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
13:05:11	185240/185240	---M--	200	added ('OK')	text/html	etag:%222d398-52b7c2b6c2500%22	http://max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.ttf	D:/studiolabs/max-agency.com/template/std/fonts/ProximaNova/ProximaNovaRegular.html	(from http://max-agency.com/template/std/css/all.css?v=2.0.55)
